               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12811,            0.083904,            0.047031,                   0,                   0,                   0,                   0,             0.11839,            0.081883,             0.04305,              0.0901,              0.0011,              0.0011
                   1,             0.11855,            0.093853,            0.044264,             0.01958,            0.057148,            0.012204,           0.0028325,              0.1039,            0.082399,            0.042593,            0.079186,           0.0021861,           0.0021861
                   2,             0.10968,            0.086016,            0.041132,            0.013574,            0.040967,           0.0077685,           0.0018737,             0.11205,             0.06535,            0.044761,            0.068154,           0.0031535,           0.0031535
                   3,             0.10126,            0.079696,            0.037421,            0.077605,            0.091517,            0.035229,           0.0080402,             0.10432,             0.10724,            0.043976,            0.057002,           0.0040021,           0.0040021
                   4,            0.088968,            0.080866,            0.034717,              0.1083,             0.25245,            0.065418,            0.018826,            0.077391,            0.096622,            0.038561,            0.045732,           0.0047318,           0.0047318
                   5,            0.083965,            0.075704,            0.033599,             0.10032,             0.36973,            0.091046,            0.024122,            0.084415,            0.066703,            0.035111,            0.034343,           0.0053428,           0.0053428
                   6,            0.082087,            0.085519,            0.033026,             0.11879,              0.4101,             0.10007,            0.026071,            0.094614,            0.074987,             0.03442,            0.022835,           0.0058349,           0.0058349
                   7,            0.082605,            0.082594,            0.032062,             0.16625,             0.51951,             0.23048,            0.060999,            0.080826,            0.061332,            0.032299,            0.011208,           0.0062083,           0.0062083
                   8,            0.077095,            0.083998,            0.031631,             0.18592,             0.53734,             0.26028,            0.080505,            0.073196,            0.057882,            0.030682,             0.00604,             0.00604,             0.00604
                   9,            0.074046,             0.07802,            0.030973,             0.23122,             0.54923,              0.2872,            0.095454,            0.064683,            0.058522,            0.029279,             0.00604,             0.00604,             0.00604
                  10,            0.067044,             0.07915,            0.029536,             0.23789,             0.59405,             0.24135,            0.077053,            0.072622,            0.053957,             0.02758,            0.005545,            0.005545,            0.005545
                  11,            0.067196,            0.073311,            0.028415,             0.40854,             0.71172,             0.49215,             0.18099,             0.05806,            0.054434,            0.025548,             0.00505,             0.00505,             0.00505
                  12,            0.062278,            0.080189,            0.026492,             0.51861,             0.65603,              0.6012,              0.2421,            0.054253,            0.054353,            0.024187,            0.004555,            0.004555,            0.004555
                  13,            0.057146,            0.078817,            0.025923,              0.5499,             0.66762,             0.64187,             0.25413,            0.054695,            0.052608,            0.022769,             0.00406,             0.00406,             0.00406
                  14,            0.056085,            0.073758,            0.024682,             0.58174,             0.71689,             0.70662,             0.30745,            0.048754,            0.052099,            0.021388,            0.003565,            0.003565,            0.003565
                  15,            0.052657,            0.074573,            0.023623,             0.69245,             0.76929,             0.81162,             0.37698,            0.045392,            0.051295,            0.020267,             0.00307,             0.00307,             0.00307
                  16,            0.049876,            0.078152,             0.02291,             0.64913,              0.7258,             0.76968,             0.36235,            0.044987,            0.051045,            0.019697,            0.002575,            0.002575,            0.002575
                  17,            0.048454,            0.072909,            0.021677,             0.75179,             0.79555,             0.85836,             0.43221,            0.041847,            0.050661,            0.019258,             0.00208,             0.00208,             0.00208
                  18,            0.045119,            0.077316,            0.020766,             0.78076,             0.79822,             0.88097,             0.45665,            0.041315,            0.050006,            0.018325,            0.001585,            0.001585,            0.001585
                  19,            0.043698,            0.073002,            0.019695,             0.77826,             0.80059,             0.88167,             0.48536,            0.039254,            0.049403,            0.017597,             0.00109,             0.00109,             0.00109
